Area_name,STCOU,PST015171F,PST015171D,PST015171N1,PST015171N2,PST015172F,PST015172D,PST015172N1,PST015172N2,PST015173F,PST015173D,PST015173N1,PST015173N2,PST015174F,PST015174D,PST015174N1,PST015174N2,PST015175F,PST015175D,PST015175N1,PST015175N2,PST015176F,PST015176D,PST015176N1,PST015176N2,PST015177F,PST015177D,PST015177N1,PST015177N2,PST015178F,PST015178D,PST015178N1,PST015178N2,PST015179F,PST015179D,PST015179N1,PST015179N2,PST025181F,PST025181D,PST025181N1,PST025181N2
"Cullman, AL",1043,0,54323,0,0,0,55776,0,0,0,57227,0,0,0,57727,0,0,0,58084,0,0,0,59685,0,0,0,60379,0,0,0,61078,0,0,0,61470,0,0,0,62040,0,0
"Dale, AL",1045,0,54548,0,0,0,49452,0,0,0,43859,0,0,0,44370,0,0,0,46068,0,0,0,44861,0,0,0,44652,0,0,0,46666,0,0,0,46385,0,0,0,48623,0,0
"Dallas, AL",1047,0,55936,0,0,0,57140,0,0,0,57294,0,0,0,58343,0,0,0,58401,0,0,0,58214,0,0,0,58178,0,0,0,54710,0,0,0,54454,0,0,0,53762,0,0
"DeKalb, AL",1049,0,43656,0,0,0,44799,0,0,0,46720,0,0,0,47903,0,0,0,49978,0,0,0,51192,0,0,0,52025,0,0,0,53109,0,0,0,53487,0,0,0,54267,0,0
"Elmore, AL",1051,0,33857,0,0,0,35356,0,0,0,36534,0,0,0,37955,0,0,0,39667,0,0,0,39699,0,0,0,40505,0,0,0,41386,0,0,0,43040,0,0,0,43731,0,0
"Escambia, AL",1053,0,35218,0,0,0,36517,0,0,0,36926,0,0,0,37100,0,0,0,38345,0,0,0,37612,0,0,0,37510,0,0,0,37558,0,0,0,37919,0,0,0,37563,0,0
"Etowah, AL",1055,0,94886,0,0,0,95757,0,0,0,96071,0,0,0,96578,0,0,0,97935,0,0,0,98983,0,0,0,100170,0,0,0,101730,0,0,0,102936,0,0,0,103139,0,0
"Fayette, AL",1057,0,16095,0,0,0,16395,0,0,0,16544,0,0,0,17082,0,0,0,17360,0,0,0,17401,0,0,0,17485,0,0,0,17783,0,0,0,18320,0,0,0,18975,0,0
"Franklin, AL",1059,0,24627,0,0,0,25530,0,0,0,26016,0,0,0,26832,0,0,0,26826,0,0,0,27208,0,0,0,27743,0,0,0,27918,0,0,0,28815,0,0,0,28190,0,0
"Geneva, AL",1061,0,22173,0,0,0,22784,0,0,0,22689,0,0,0,22746,0,0,0,23177,0,0,0,23239,0,0,0,23406,0,0,0,23564,0,0,0,23915,0,0,0,23902,0,0
"Greene, AL",1063,0,10295,0,0,0,10231,0,0,0,10581,0,0,0,10640,0,0,0,10727,0,0,0,10988,0,0,0,10818,0,0,0,10957,0,0,0,10842,0,0,0,11081,0,0
"Hale, AL",1065,0,15601,0,0,0,15756,0,0,0,15872,0,0,0,15612,0,0,0,15728,0,0,0,15743,0,0,0,15751,0,0,0,15702,0,0,0,15926,0,0,0,15571,0,0
"Henry, AL",1067,0,13456,0,0,0,13528,0,0,0,13681,0,0,0,14108,0,0,0,14268,0,0,0,14600,0,0,0,14722,0,0,0,14921,0,0,0,15027,0,0,0,15435,0,0
"Houston, AL",1069,0,58517,0,0,0,61569,0,0,0,64038,0,0,0,68536,0,0,0,70600,0,0,0,71937,0,0,0,72837,0,0,0,74286,0,0,0,74688,0,0,0,76238,0,0
"Jackson, AL",1071,0,40669,0,0,0,42249,0,0,0,43122,0,0,0,45155,0,0,0,47011,0,0,0,48058,0,0,0,49698,0,0,0,50996,0,0,0,51605,0,0,0,51381,0,0
"Jefferson, AL",1073,0,649806,0,0,0,647098,0,0,0,650633,0,0,0,648793,0,0,0,655334,0,0,0,661295,0,0,0,663604,0,0,0,667406,0,0,0,671696,0,0,0,667795,0,0
"Lamar, AL",1075,0,14678,0,0,0,15480,0,0,0,15401,0,0,0,15809,0,0,0,16003,0,0,0,16080,0,0,0,16062,0,0,0,16138,0,0,0,16197,0,0,0,16422,0,0
"Lauderdale, AL",1077,0,70157,0,0,0,70858,0,0,0,72284,0,0,0,73354,0,0,0,74346,0,0,0,75819,0,0,0,77072,0,0,0,78544,0,0,0,80462,0,0,0,81380,0,0
"Lawrence, AL",1079,0,27408,0,0,0,28423,0,0,0,28011,0,0,0,28657,0,0,0,28606,0,0,0,29205,0,0,0,29614,0,0,0,30095,0,0,0,30275,0,0,0,30237,0,0
"Lee, AL",1081,0,61895,0,0,0,62158,0,0,0,64587,0,0,0,68822,0,0,0,69372,0,0,0,69979,0,0,0,71860,0,0,0,74068,0,0,0,75989,0,0,0,77776,0,0
"Limestone, AL",1083,0,41954,0,0,0,43251,0,0,0,43459,0,0,0,43534,0,0,0,44041,0,0,0,44409,0,0,0,44500,0,0,0,44935,0,0,0,45008,0,0,0,45845,0,0
"Lowndes, AL",1085,0,13255,0,0,0,13726,0,0,0,13785,0,0,0,13763,0,0,0,13420,0,0,0,13545,0,0,0,13838,0,0,0,13919,0,0,0,13341,0,0,0,13098,0,0
